id,name,category,parent_id,synonyms,actionability,oifm_id
FID3310,Esophageal stent,devices,,,conditional,OIFM_MGB_674048
FID3320,Aortic valve replacement,devices,,"Prosthetic aortic valve,Mechanical aortic valve,Bioprosthetic aortic valve,Aortic valve prosthesis",conditional,OIFM_MGB_611597
FID3330,Mitral valve replacement,devices,,"Prosthetic mitral valve,Mechanical mitral valve,Bioprosthetic mitral valve",conditional,OIFM_OIDM_188608
FID3340,Feeding tube,devices,FID2790,"Dobhoff tube,Nasoenteric tube,NJ tube,Nasojejunal tube,GJ tube,Gastrojejunostomy tube",conditional,OIFM_OIDM_185348
FID3350,Median sternotomy,devices,,Sternotomy,incidental,OIFM_MGB_802796
FID3360,Thoracotomy,devices,,"Lateral thoracotomy,Posterolateral thoracotomy",incidental,OIFM_OIDM_783133
FID3370,Vertebroplasty,devices,,,incidental,OIFM_OIDM_929353
FID3375,Vertebroplasties,devices,,,incidental,OIFM_OIDM_929353
FID3380,Mitral valve clip,devices,,MitraClip,conditional,OIFM_OIDM_417935
FID3390,Left atrial appendage ligation,devices,,AtriClip,incidental,OIFM_MGB_665120
FID3400,Hemodialysis catheter,devices,,"Dialysis catheter,HD catheter",conditional,OIFM_OIDM_988832
FID3410,Esophageal probe,devices,,"Esophageal monitoring device,Esophageal temperature probe",conditional,OIFM_OIDM_054124
FID3420,CABG,devices,,Coronary artery bypass graft,incidental,OIFM_MGB_053057
FID3430,Support device,devices,,"Support lines and tubes,Support device,Support devices",conditional,
FID3440,Tunneled catheter,devices,,"Tunneled central catheter,Tunneled line",conditional,OIFM_OIDM_628961
FID3450,Introducer sheath,devices,,Vascular sheath,conditional,OIFM_OIDM_105430
FID3460,Vascular stent,devices,,,conditional,OIFM_OIDM_053884
FID3600,AP projection,technique,,Anteroposterior projection,incidental
FID3610,Clipped costophrenic angles,technique,,,incidental,OIFM_OIDM_646786
FID3620,Clipped lateral soft tissues,technique,,,incidental,OIFM_OIDM_193174
FID3630,Clipped lung apices,technique,,,incidental,OIFM_OIDM_515194
FID3640,Grid artifact,technique,,,incidental,OIFM_OIDM_629839
FID3650,Image marker absent,technique,,,incidental,OIFM_OIDM_240202
FID3660,Image marker incorrect,technique,,,incidental,OIFM_OIDM_295036
FID3670,Improper centering,technique,,,incidental,OIFM_OIDM_906530
FID3680,Lateral projection,technique,,,incidental
FID3690,Lungs incompletely imaged,technique,,,incidental,OIFM_OIDM_318181
FID3700,Motion artifact,technique,,,incidental,OIFM_OIDM_659997
FID3710,Oblique projection,technique,,,incidental
FID3720,Obscured by external object,technique,,,incidental,OIFM_OIDM_126712
FID3730,Obscured by laterality marker,technique,,,incidental,OIFM_OIDM_224143
FID3740,Obscured by medical device,technique,,,incidental,OIFM_OIDM_709467
FID3750,Obscured by chin,technique,,,incidental,OIFM_OIDM_793808
FID3760,Overpenetrated,technique,,Overexposed,incidental,OIFM_OIDM_308623
FID3770,PA projection,technique,,Posteroanterior projection,incidental
FID3780,Portable projection,technique,,,incidental
FID3790,Rotated,technique,,Rotated image,incidental,OIFM_OIDM_367264
FID3795,Lordotic positioning,technique,,"Lordotic projection,Lordotic view",incidental
FID3800,Semi-erect projection,technique,,,incidental
FID3810,Supine projection,technique,,,incidental
