name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
desmoid_fibromatosis_of_breast,mesenchymal,fibroblastic_myofibroblastic_tumor_of_breast,"Desmoid tumor,Desmoid fibromatosis",diagnosis,,
inflammatory_myofibroblastic_tumor_of_breast,mesenchymal,fibroblastic_myofibroblastic_tumor_of_breast,"IMT,Inflammatory myofibroblastic tumor",diagnosis,,
peripheral_nerve_sheath_tumor_of_breast,mesenchymal,mesenchymal_tumor_of_breast,PNST,diagnosis,,
schwannoma_of_breast,mesenchymal,peripheral_nerve_sheath_tumor_of_breast,"Schwannoma,Neurilemmoma",diagnosis,,
neurofibroma_of_breast,mesenchymal,peripheral_nerve_sheath_tumor_of_breast,Neurofibroma,diagnosis,,
granular_cell_tumor_of_breast,mesenchymal,peripheral_nerve_sheath_tumor_of_breast,Granular cell tumor,diagnosis,,
smooth_muscle_tumor_of_breast,mesenchymal,mesenchymal_tumor_of_breast,,diagnosis,,
leiomyoma_of_breast,mesenchymal,smooth_muscle_tumor_of_breast,Leiomyoma,diagnosis,,
leiomyosarcoma_of_breast,mesenchymal,smooth_muscle_tumor_of_breast,Leiomyosarcoma,diagnosis,,
adipocytic_tumor_of_breast,mesenchymal,mesenchymal_tumor_of_breast,,diagnosis,,
lipoma_of_breast,mesenchymal,adipocytic_tumor_of_breast,"Lipoma,Breast lipoma",diagnosis,,
angiolipoma_of_breast,mesenchymal,adipocytic_tumor_of_breast,Angiolipoma,diagnosis,,
liposarcoma_of_breast,mesenchymal,adipocytic_tumor_of_breast,Liposarcoma,diagnosis,,
pseudoangiomatous_stromal_hyperplasia,mesenchymal,mesenchymal_tumor_of_breast,PASH,diagnosis,,
hematolymphoid_tumor_of_breast,hematolymphoid,,,,,
extranodal_marginal_zone_lymphoma_of_breast,hematolymphoid,hematolymphoid_tumor_of_breast,"MALT lymphoma,Extranodal marginal zone lymphoma,Breast MALT lymphoma",diagnosis,,
follicular_lymphoma_of_breast,hematolymphoid,hematolymphoid_tumor_of_breast,Follicular lymphoma of breast,diagnosis,,
diffuse_large_b_cell_lymphoma_of_breast,hematolymphoid,hematolymphoid_tumor_of_breast,"DLBCL,Diffuse large B-cell lymphoma of breast",diagnosis,,
burkitt_lymphoma_of_breast,hematolymphoid,hematolymphoid_tumor_of_breast,Burkitt lymphoma of breast,diagnosis,,
breast_implant_associated_anaplastic_large_cell_lymphoma,hematolymphoid,hematolymphoid_tumor_of_breast,"BIA-ALCL,Breast implant-associated anaplastic large cell lymphoma",diagnosis,,
metastasis_of_breast,metastasis,,,diagnosis,,
benign_nonneoplastic_condition,benign_nonneoplastic,,,,,
fat_necrosis,benign_nonneoplastic,benign_nonneoplastic_condition,"Breast fat necrosis,Traumatic fat necrosis",diagnosis,,
oil_cyst,benign_nonneoplastic,fat_necrosis,,diagnosis,,
cyst_of_breast,benign_nonneoplastic,benign_nonneoplastic_condition,Cyst,diagnosis,,
fibrocystic_change,benign_nonneoplastic,benign_nonneoplastic_condition,"Fibrocystic disease,Fibrocystic condition",diagnosis,,
mastitis,benign_nonneoplastic,benign_nonneoplastic_condition,"Breast infection,Periductal mastitis",diagnosis,,
granulomatous_mastitis,benign_nonneoplastic,mastitis,,diagnosis,,
diabetic_mastopathy,benign_nonneoplastic,benign_nonneoplastic_condition,"Lymphocytic mastopathy,Sclerosing lymphocytic lobulitis",diagnosis,,
gynecomastia_pathology,benign_nonneoplastic,benign_nonneoplastic_condition,,diagnosis,,
abscess_of_breast,benign_nonneoplastic,benign_nonneoplastic_condition,Abscess,diagnosis,,
galactocele,benign_nonneoplastic,cyst_of_breast,,diagnosis,,
